日期,颜色代码,花粉等级,城市ID,等级描述,城市代码,城市
2025-03-20,#FF2319,很高,101240101,极易引发过敏，减少外出，持续规范用药。,nanchang,南昌
2025-03-19,#FF2319,很高,101240101,极易引发过敏，减少外出，持续规范用药。,nanchang,南昌
2025-03-18,#FF2319,很高,101240101,极易引发过敏，减少外出，持续规范用药。,nanchang,南昌
2025-03-17,#FF2319,很高,101240101,极易引发过敏，减少外出，持续规范用药。,nanchang,南昌
2025-03-16,#A1FF3D,低,101240101,易引发轻度过敏，适当防护对症用药。,nanchang,南昌
2025-03-23,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-16,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-17,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-18,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-19,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-20,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-21,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-22,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-23,#81CB31,很低,101110300,不易引发过敏反应。,yanan,延安
2025-03-22,#C4A39F,暂无,101110300,,yanan,延安
2025-03-21,#C4A39F,暂无,101110300,,yanan,延安
2025-03-20,#C4A39F,暂无,101110300,,yanan,延安
2025-03-19,#C4A39F,暂无,101110300,,yanan,延安
2025-03-18,#81CB31,很低,101110300,不易引发过敏反应。,yanan,延安
2025-03-17,#C4A39F,暂无,101110300,,yanan,延安
2025-03-16,#FFAF13,高,101110300,易引发过敏，加强防护，规范用药。,yanan,延安
2025-03-23,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-22,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-21,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-20,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-19,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-18,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-17,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-16,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-23,#81CB31,很低,101110200,不易引发过敏反应。,xianyang,咸阳
2025-03-22,#A1FF3D,低,101110200,易引发轻度过敏，适当防护对症用药。,xianyang,咸阳
2025-03-21,#A1FF3D,低,101110200,易引发轻度过敏，适当防护对症用药。,xianyang,咸阳
2025-03-20,#A1FF3D,低,101110200,易引发轻度过敏，适当防护对症用药。,xianyang,咸阳
2025-03-19,#81CB31,很低,101110200,不易引发过敏反应。,xianyang,咸阳
2025-03-18,#81CB31,很低,101110200,不易引发过敏反应。,xianyang,咸阳
2025-03-17,#81CB31,很低,101110200,不易引发过敏反应。,xianyang,咸阳
2025-03-16,#81CB31,很低,101110200,不易引发过敏反应。,xianyang,咸阳
2025-03-23,#F5EE32,中,101270101,易引发过敏，加强防护，对症用药。,chengdu,成都
2025-03-22,#FFAF13,高,101270101,易引发过敏，加强防护，规范用药。,chengdu,成都
2025-03-21,#FFAF13,高,101270101,易引发过敏，加强防护，规范用药。,chengdu,成都
2025-03-20,#A1FF3D,低,101270101,易引发轻度过敏，适当防护对症用药。,chengdu,成都
2025-03-19,#FFAF13,高,101270101,易引发过敏，加强防护，规范用药。,chengdu,成都
2025-03-18,#F5EE32,中,101270101,易引发过敏，加强防护，对症用药。,chengdu,成都
2025-03-17,#A1FF3D,低,101270101,易引发轻度过敏，适当防护对症用药。,chengdu,成都
2025-03-16,#A1FF3D,低,101270101,易引发轻度过敏，适当防护对症用药。,chengdu,成都
2025-03-23,#81CB31,很低,101020100,不易引发过敏反应。,shanghai,上海
2025-03-22,#FFAF13,高,101020100,易引发过敏，加强防护，规范用药。,shanghai,上海
2025-03-21,#FFAF13,高,101020100,易引发过敏，加强防护，规范用药。,shanghai,上海
2025-03-20,#81CB31,很低,101020100,不易引发过敏反应。,shanghai,上海
2025-03-19,#81CB31,很低,101020100,不易引发过敏反应。,shanghai,上海
2025-03-18,#81CB31,很低,101020100,不易引发过敏反应。,shanghai,上海
2025-03-17,#81CB31,很低,101020100,不易引发过敏反应。,shanghai,上海
2025-03-16,#81CB31,很低,101020100,不易引发过敏反应。,shanghai,上海
2025-03-23,#81CB31,很低,101110401,不易引发过敏反应。,yulin,榆林
2025-03-22,#81CB31,很低,101110401,不易引发过敏反应。,yulin,榆林
2025-03-21,#81CB31,很低,101110401,不易引发过敏反应。,yulin,榆林
2025-03-20,#81CB31,很低,101110401,不易引发过敏反应。,yulin,榆林
2025-03-19,#81CB31,很低,101110401,不易引发过敏反应。,yulin,榆林
2025-03-18,#999999,未检测到花粉,101110401,,yulin,榆林
2025-03-17,#81CB31,很低,101110401,不易引发过敏反应。,yulin,榆林
2025-03-16,#81CB31,很低,101110401,不易引发过敏反应。,yulin,榆林
2025-03-23,#FFAF13,高,101180101,易引发过敏，加强防护，规范用药。,zhengzhou,郑州
2025-03-22,#F5EE32,中,101180101,易引发过敏，加强防护，对症用药。,zhengzhou,郑州
2025-03-21,#F5EE32,中,101180101,易引发过敏，加强防护，对症用药。,zhengzhou,郑州
2025-03-20,#F5EE32,中,101180101,易引发过敏，加强防护，对症用药。,zhengzhou,郑州
2025-03-19,#A1FF3D,低,101180101,易引发轻度过敏，适当防护对症用药。,zhengzhou,郑州
2025-03-18,#81CB31,很低,101180101,不易引发过敏反应。,zhengzhou,郑州
2025-03-17,#A1FF3D,低,101180101,易引发轻度过敏，适当防护对症用药。,zhengzhou,郑州
2025-03-16,#81CB31,很低,101180101,不易引发过敏反应。,zhengzhou,郑州
